排名 球員,打擊率,出賽數,打席,打數,得分,打點,安打,一安,二安,三安,全壘打,壘打數,長打數,四壞,（故四）,死球,被三振,雙殺打,犧短,犧飛,盜壘,盜壘刺,上壘率,長打率,整體攻擊指數,滾飛出局比,保送三振比
1 富邦悍將 辛元旭,0.356,13,50,45,4,7,16,12,2,1,1,23,4,3,（0）,1,7,1,1,0,0,0,0.408,0.511,0.919,1.091,0.57
2 統一7-ELEVEn獅 邱智呈,0.354,16,77,65,11,8,23,19,3,1,0,28,4,11,（0）,0,14,1,0,1,2,3,0.442,0.431,0.873,2.222,0.79
3 台鋼雄鷹 魔鷹,0.346,15,64,52,7,11,18,13,1,0,4,31,5,11,（4）,0,12,0,0,1,0,0,0.453,0.596,1.049,0.769,0.92
4 台鋼雄鷹 郭永維,0.34,15,59,50,8,3,17,15,2,0,0,19,2,4,（0）,2,6,2,3,0,2,0,0.411,0.38,0.791,1.308,1.0
5 統一7-ELEVEn獅 陳傑憲,0.339,16,73,59,10,9,20,19,0,1,0,22,1,9,（0）,3,6,2,1,1,1,0,0.444,0.373,0.817,0.944,2.0
6 樂天桃猿 陳晨威,0.333,16,73,69,10,3,23,19,3,0,1,29,4,2,（0）,0,14,2,2,0,5,2,0.352,0.42,0.772,0.7,0.14
7 味全龍 張政禹,0.32,16,57,50,9,8,16,12,3,1,0,21,4,4,（0）,0,11,0,0,3,4,1,0.351,0.42,0.771,0.733,0.36
8 中信兄弟 曾頌恩,0.316,16,59,57,11,16,18,9,4,0,5,37,9,1,（0）,0,9,4,1,0,0,0,0.328,0.649,0.977,1.067,0.11
9 統一7-ELEVEn獅 陳重廷,0.311,16,68,61,9,10,19,12,6,0,1,28,7,5,（0）,0,9,2,2,0,1,1,0.364,0.459,0.823,2.182,0.56
10 台鋼雄鷹 曾子祐,0.31,15,67,58,7,3,18,14,3,1,0,23,4,7,（0）,0,5,4,2,0,1,1,0.385,0.397,0.782,0.85,1.4
11 富邦悍將 王正棠,0.3,14,55,50,7,2,15,9,4,1,1,24,6,4,（1）,0,5,1,1,0,0,0,0.352,0.48,0.832,0.824,0.8
12 台鋼雄鷹 王柏融,0.296,15,65,54,5,7,16,11,3,0,2,25,5,8,（0）,3,15,3,0,0,0,1,0.415,0.463,0.878,0.917,0.73
13 味全龍 郭嚴文,0.294,15,53,51,3,6,15,13,2,0,0,17,2,0,（0）,1,10,3,0,1,0,1,0.302,0.333,0.635,1.7,0.1
14 統一7-ELEVEn獅 林佳緯,0.292,16,73,65,12,6,19,14,3,1,1,27,5,7,（0）,0,18,1,1,0,1,1,0.361,0.415,0.776,1.417,0.39
15 富邦悍將 高國麟,0.289,15,52,45,7,7,13,9,3,0,1,19,4,4,（0）,2,14,1,0,1,0,0,0.365,0.422,0.787,0.583,0.43
